K_true,noise_tier,target_snr,nse_max,nrmse_mean,nrmse_median,nrmse_p25,nrmse_p75,nse_mean,nse_median,nse_p25,nse_p75,fit_bic_mean,fit_bic_median,fit_bic_p25,fit_bic_p75,fit_loglik_mean,fit_loglik_median,fit_loglik_p25,fit_loglik_p75,lag_rel_error_mean,lag_rel_error_median,lag_rel_error_p25,lag_rel_error_p75,delta_rel_error_mean,delta_rel_error_median,delta_rel_error_p25,delta_rel_error_p75,sigma_k_rel_error_mean,sigma_k_rel_error_median,sigma_k_rel_error_p25,sigma_k_rel_error_p75,beta_rel_error_mean,beta_rel_error_median,beta_rel_error_p25,beta_rel_error_p75,cov_sigma_sq_rel_error_mean,cov_sigma_sq_rel_error_median,cov_sigma_sq_rel_error_p25,cov_sigma_sq_rel_error_p75,cov_phi_rel_error_mean,cov_phi_rel_error_median,cov_phi_rel_error_p25,cov_phi_rel_error_p75,cov_tau_sq_rel_error_mean,cov_tau_sq_rel_error_median,cov_tau_sq_rel_error_p25,cov_tau_sq_rel_error_p75,delta_mse_mean,delta_mse_median,delta_mse_p25,delta_mse_p75,sigma_k_mse_mean,sigma_k_mse_median,sigma_k_mse_p25,sigma_k_mse_p75,beta_mse_mean,beta_mse_median,beta_mse_p25,beta_mse_p75,cov_sigma_sq_mse_mean,cov_sigma_sq_mse_median,cov_sigma_sq_mse_p25,cov_sigma_sq_mse_p75,cov_phi_mse_mean,cov_phi_mse_median,cov_phi_mse_p25,cov_phi_mse_p75,cov_tau_sq_mse_mean,cov_tau_sq_mse_median,cov_tau_sq_mse_p25,cov_tau_sq_mse_p75,delta_mae_mean,delta_mae_median,delta_mae_p25,delta_mae_p75,sigma_k_mae_mean,sigma_k_mae_median,sigma_k_mae_p25,sigma_k_mae_p75,beta_mae_mean,beta_mae_median,beta_mae_p25,beta_mae_p75,cov_sigma_sq_mae_mean,cov_sigma_sq_mae_median,cov_sigma_sq_mae_p25,cov_sigma_sq_mae_p75,cov_phi_mae_mean,cov_phi_mae_median,cov_phi_mae_p25,cov_phi_mae_p75,cov_tau_sq_mae_mean,cov_tau_sq_mae_median,cov_tau_sq_mae_p25,cov_tau_sq_mae_p75
1,low,100.0,0.9901,0.0327,0.0014,0.0009,0.0042,0.9854,0.9899,0.9894,0.9905,-9510.8272,-9900.8962,-10360.8349,-8605.7167,4780.0227,4975.0572,4327.4675,5205.0266,0.001,0.0001,0.0,0.0002,0.001,0.0001,0.0,0.0002,0.0184,0.001,0.0001,0.0015,0.0288,0.0007,0.0005,0.0039,10.3344,4.1655,2.7307,11.1781,2.148,2.3461,0.9218,3.5236,8.5833,5.2917,3.5335,13.8331,0.023,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0032,0.0016,0.0013,0.0021,7598.1799,10828.3875,44.5912,13364.3325,0.0,0.0,0.0,0.0,0.0702,0.0045,0.0024,0.0051,0.0541,0.0023,0.0003,0.003,0.0039,0.0002,0.0001,0.0012,0.0506,0.0401,0.0365,0.0457,69.0555,104.0595,6.6777,115.6042,0.0056,0.0057,0.0053,0.0063
1,medium,20.0,0.9524,0.0105,0.0059,0.0035,0.0063,0.9579,0.9574,0.9549,0.9609,-5605.0966,-5454.4066,-5824.2351,-5146.3515,2827.1574,2751.8124,2597.7848,2936.7267,0.0002,0.0001,0.0001,0.0002,0.0002,0.0001,0.0001,0.0002,0.0071,0.0038,0.0031,0.0063,0.0092,0.0035,0.0025,0.0059,0.2072,0.1204,0.1055,0.359,0.1198,0.0528,0.05,0.1541,0.1494,0.031,0.003,0.0562,0.0002,0.0,0.0,0.0001,0.0012,0.0001,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0005,0.0001,0.0001,0.0002,10.0459,1.9626,1.7322,8.8225,0.0,0.0,0.0,0.0,0.0103,0.0069,0.0048,0.0104,0.0239,0.0107,0.0096,0.0156,0.0023,0.001,0.0007,0.002,0.0165,0.0098,0.009,0.0132,2.5262,1.4009,1.3161,2.9703,0.0007,0.0004,0.0,0.0005
1,high,5.0,0.8333,0.0046,0.0034,0.0028,0.0059,0.8513,0.8478,0.8445,0.85,-2342.2461,-1461.1297,-3867.0913,511.2453,1195.7322,755.1739,-231.0136,1958.1547,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0048,0.0061,0.0019,0.0071,0.0035,0.002,0.0012,0.0049,2.0578,0.1124,0.0956,0.2236,0.6745,0.1395,0.1127,0.2147,0.116,0.0204,0.0126,0.0452,0.0001,0.0,0.0,0.0001,0.0003,0.0002,0.0,0.0005,0.0,0.0,0.0,0.0,3.6778,0.0002,0.0001,0.0014,1384.3904,17.3843,1.4159,24.301,0.0,0.0,0.0,0.0,0.0076,0.0054,0.0051,0.0087,0.0148,0.0129,0.0051,0.0234,0.0008,0.0006,0.0002,0.0007,0.8717,0.0132,0.0111,0.0371,18.859,4.1694,1.1899,4.9296,0.0009,0.0006,0.0005,0.001
2,low,100.0,0.9901,0.0035,0.0021,0.0018,0.0021,0.9884,0.9878,0.9875,0.9893,-9283.81,-9158.8014,-9722.896,-9000.7275,4678.8187,4616.3143,4537.2774,4898.3616,0.0003,0.0002,0.0002,0.0004,0.0003,0.0002,0.0002,0.0004,0.0043,0.002,0.0019,0.0035,0.0044,0.0021,0.0017,0.003,18.0756,3.3757,2.089,23.4149,2.8986,3.0661,2.1372,3.5283,2.2489,1.824,1.3882,2.7621,0.0002,0.0001,0.0001,0.0002,0.0003,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.4461,0.0015,0.0011,0.5239,9113.8927,10205.7776,6219.9496,12449.9389,0.0,0.0,0.0,0.0,0.0095,0.0071,0.007,0.0109,0.0128,0.0056,0.0055,0.0102,0.001,0.0003,0.0003,0.0005,0.4251,0.0386,0.0337,0.7238,91.4514,101.0236,78.8667,111.5793,0.0044,0.0044,0.0039,0.0049
2,medium,20.0,0.9524,0.0269,0.0075,0.0062,0.0399,0.9482,0.9489,0.9476,0.9494,-5190.1545,-6064.8961,-7436.5312,-2482.9534,2631.9909,3069.3617,1278.3903,3755.1793,0.001,0.0009,0.0004,0.0013,0.001,0.0009,0.0004,0.0013,0.0366,0.0065,0.0065,0.0129,0.0339,0.008,0.0054,0.0343,21.6566,0.2744,0.1914,20.3522,1.3002,0.9374,0.0938,2.346,0.2658,0.2411,0.2287,0.3359,0.0056,0.0008,0.0007,0.0011,0.1068,0.0005,0.0004,0.0024,0.0001,0.0,0.0,0.0,52.3108,0.0004,0.0001,0.8817,3041.5685,470.0775,5.3588,2170.5182,0.0,0.0,0.0,0.0,0.0409,0.0262,0.0191,0.0278,0.1274,0.0203,0.0196,0.0396,0.0053,0.0022,0.0007,0.0049,3.4238,0.0212,0.0114,0.939,36.7564,21.6813,2.3149,46.5888,0.0019,0.0017,0.0013,0.0021
2,high,5.0,0.8333,0.0137,0.0108,0.0102,0.0184,0.836,0.8343,0.829,0.8468,1132.8488,1489.2351,551.8103,2137.0623,-529.5108,-707.7039,-1031.6175,-238.9915,0.0015,0.0013,0.0012,0.0016,0.0015,0.0013,0.0012,0.0016,0.011,0.0089,0.0051,0.0136,0.0156,0.0107,0.0089,0.0271,0.2115,0.1282,0.0611,0.1995,0.1214,0.0816,0.0225,0.109,0.0234,0.0225,0.0168,0.031,0.0024,0.0015,0.0014,0.0033,0.003,0.0006,0.0002,0.0009,0.0,0.0,0.0,0.0,0.0406,0.0031,0.0008,0.011,44.9482,4.5824,0.0302,7.3505,0.0,0.0,0.0,0.0,0.038,0.0384,0.034,0.0429,0.032,0.025,0.0128,0.0306,0.0029,0.0025,0.0019,0.0037,0.1268,0.0558,0.029,0.1051,3.9254,2.1406,0.1739,2.7112,0.0013,0.0016,0.0008,0.0017
3,low,100.0,0.9901,0.1436,0.0195,0.0158,0.0262,0.9082,0.9886,0.9877,0.9898,-7044.4262,-7114.3474,-7882.2732,-6872.778,3571.4313,3606.3919,3485.6072,3990.3548,0.0261,0.0016,0.0009,0.002,0.0261,0.0016,0.0009,0.002,0.0697,0.0104,0.0059,0.0144,0.1121,0.0156,0.0109,0.0227,31.6759,9.182,5.9338,50.1043,0.7413,0.2657,0.1637,0.9541,1.029,1.0488,0.9362,1.2295,15.0378,0.002,0.0013,0.0029,0.476,0.002,0.0006,0.0026,0.0029,0.0,0.0,0.0,1.5236,0.0772,0.0636,2.2927,1982.7211,65.1453,4.3058,80.0128,0.0,0.0,0.0,0.0,1.0526,0.0421,0.0339,0.053,0.2484,0.0351,0.0191,0.0363,0.0213,0.0038,0.0022,0.0041,0.8989,0.2779,0.2521,1.5142,23.9574,8.0713,2.075,8.945,0.0035,0.0035,0.0033,0.0038
3,medium,20.0,0.9524,0.1147,0.0318,0.0212,0.0424,0.9171,0.9533,0.9455,0.9581,-1105.6941,-1507.6213,-2191.7638,-714.3863,602.0652,803.0288,406.4113,1145.1001,0.0206,0.0019,0.001,0.0051,0.0206,0.0019,0.001,0.0051,0.0673,0.0261,0.0259,0.0276,0.0915,0.0358,0.0274,0.0451,2.735,0.9296,0.6562,5.3446,0.5016,0.4504,0.4317,0.5502,0.047,0.0482,0.0359,0.0518,30.6466,0.0174,0.0157,0.025,0.3345,0.0087,0.0045,0.0118,0.0028,0.0,0.0,0.0001,0.6367,0.0399,0.025,1.1373,330.5527,272.7187,196.5794,426.78,0.0,0.0,0.0,0.0,1.4966,0.1053,0.0744,0.1236,0.2188,0.0793,0.0641,0.0808,0.0216,0.007,0.0049,0.0078,0.5873,0.1998,0.158,1.0664,17.3315,16.5142,14.0207,20.6587,0.0012,0.001,0.0009,0.0015
3,high,5.0,0.8333,0.0884,0.0498,0.0188,0.1456,0.8138,0.809,0.8062,0.8196,3551.7157,3995.7103,2676.7291,4160.494,-1726.6397,-1948.637,-2031.0288,-1289.1464,0.0412,0.002,0.0016,0.0147,0.0412,0.002,0.0016,0.0147,0.0931,0.0198,0.0195,0.1407,0.2112,0.0436,0.0217,0.2345,0.2378,0.1135,0.0707,0.1961,0.2765,0.2066,0.0559,0.4643,0.019,0.015,0.0139,0.0167,44.9994,0.002,0.0011,0.3583,0.3386,0.006,0.0041,0.2287,0.006,0.0002,0.0,0.002,0.0642,0.0092,0.0053,0.0476,223.2922,29.3996,3.2802,204.8867,0.0,0.0,0.0,0.0,2.5379,0.0411,0.0253,0.4218,0.2903,0.0632,0.0518,0.4251,0.0395,0.0115,0.0057,0.0406,0.1883,0.0959,0.0726,0.2181,10.3271,5.4221,1.8111,14.3139,0.0018,0.0017,0.0014,0.0019
4,low,100.0,0.9901,0.188,0.2357,0.0603,0.2653,0.945,0.9342,0.9267,0.987,-3976.7559,-3935.7031,-5356.3919,-2599.1079,2049.9007,2029.3743,1361.0767,2739.7187,0.1641,0.2056,0.0013,0.2538,0.1641,0.2056,0.0013,0.2538,0.1333,0.1476,0.0321,0.1796,0.2912,0.2748,0.0675,0.5066,54.2804,34.5614,14.6037,90.2972,1.6916,0.8102,0.6194,1.5384,0.1879,0.1692,0.0796,0.2352,336.4285,304.4571,0.0035,526.996,0.4984,0.2965,0.0374,0.8311,0.0104,0.0051,0.0003,0.0216,16.6962,4.49,0.5153,27.2868,686.9138,455.7686,276.144,1274.796,0.0,0.0,0.0,0.0,9.2926,14.6367,0.0523,14.7076,0.3848,0.4202,0.1113,0.5885,0.0581,0.0401,0.0116,0.113,3.1736,2.119,0.7178,5.2237,23.9222,21.3487,16.6176,35.7043,0.0011,0.0011,0.0005,0.0013
